experiment,model,task,task_family,dataset,dataset_file,reported_in_paper,weights,n,perf,perf_er0,perf_erpos,pct_er0,overall,IR,IO,ER,EO,gc,cp,length,info,validity,tanimoto,semantic_entropy,claims_per_resp,perclaim_fab_rate,hedge_rate,abstain_rate,fab_position,n_conditions,base_accuracy,samples_per_response,n_matched_token,n_dlogp
diagnosis,ChemDFM-R,tox21,classification,MoleculeNet,moleculenet/tox21/tox21.csv,False,OpenDFM/ChemDFM-R,784,0.0,0.0,0.0,66.3265,17.205,0.0,0.0,6.8557,44.2602,2.4694,91.1488,835.9643,2.9539,100.0,,0.0033,,,,,,,,,,
diagnosis,ChemDFM-R,clintox,classification,MoleculeNet,moleculenet/clintox/clintox.csv,False,OpenDFM/ChemDFM-R,148,0.0,0.0,0.0,67.5676,4.3508,0.0,0.0,6.9978,7.4324,2.2838,88.2507,822.6419,2.7762,100.0,,0.0392,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,cap2mol,translation,ChEBI-20,chebi-20/test.txt,True,,3300,0.7879,1.4646,0.3863,37.2424,25.7518,42.5857,1.0954,14.4182,4.0339,3.4348,74.4597,11878.84,0.2892,6.0,0.3277,0.6137,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,mol2cap,translation,ChEBI-20,chebi-20/test.txt,True,,3300,1.0673,0.9875,1.0769,10.7273,46.0635,49.1911,6.3788,20.0163,91.3514,3.7533,55.27,11878.2445,0.316,98.7879,,2.3026,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,retrosynthesis,translation,USPTO-50k,uspto50k/USPTO_50K.csv,True,,5007,0.0,0.0,0.0,0.02,54.9879,17.8386,79.4822,33.7844,86.9693,5.0837,32.6459,15171.0529,0.3351,0.1398,,0.5082,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolCustom_AtomNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_AtomNum.csv,True,,500,9.0,21.1765,6.506,17.0,65.6761,47.4703,64.8,45.6262,84.0489,0.382,10.4429,10123.864,0.0377,19.0,,1.0928,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolCustom_BondNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_BondNum.csv,True,,500,10.2,35.1351,8.2073,7.4,63.5193,42.3095,64.96,40.4049,86.9784,0.112,5.2582,12337.142,0.0091,18.8,,0.7333,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolCustom_FunctionalGroup,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_FunctionalGroup.csv,True,,500,26.0,72.0,17.8824,15.0,51.241,47.209,49.6,29.5849,69.6095,2.178,48.8122,10000.014,0.2178,38.0,,1.1629,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolEdit_AddComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_AddComponent.csv,True,,500,6.2,6.8966,6.1571,5.8,60.1857,25.2508,74.24,19.5804,94.1233,4.558,57.667,13516.668,0.3372,7.2,,0.5728,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolEdit_DelComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_DelComponent.csv,True,,500,37.6,44.0476,36.2981,16.8,43.2766,25.3749,47.2,15.3184,68.116,3.716,63.5214,11252.908,0.3302,41.0,,0.9057,,,,,,,,,,
